experiment	item	item_original	condition	bracketing	text	participant	playlist	order	trialN	recordedFile	
suborn	5	3	1	r	She read in the minutes that Marion, or Benjamin and Jeremy have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	933	1	15	15	suborn_933_5_1.wav	
suborn	3	2	3	r	You said that Dillon, and Lauren or Morgan would help. But in fact we were told that Megan, and Lauren or Morgan would help.	933	1	16	16	suborn_933_3_3.wav	
suborn	3	2	1	r	You said that Megan, and Lauren or Dillon would help. But in fact we were told that Megan, and Lauren or Morgan would help.	933	1	17	17	suborn_933_3_1.wav	
suborn	5	3	3	r	She read in the minutes that Jeremy, or Benjamin and Lillian have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	933	1	18	18	suborn_933_5_3.wav	
suborn	2	1	2	l	I thought they said Marion or Sarah, and Nolan arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	933	1	19	19	suborn_933_2_2.wav	
suborn	4	2	4	l	You said that Dillon would help. But in fact we were told that Megan and Lauren, or Morgan would help.	933	1	20	20	suborn_933_4_4.wav	
suborn	1	1	3	r	I thought they said Sarah, or Marvin and Nolan arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	933	1	21	21	suborn_933_1_3.wav	
suborn	7	4	1	r	He said that Marjorie, and Logan or Sally were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.  	933	1	22	22	suborn_933_7_1.wav	
suborn	8	4	4	l	He said that Sally was nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	933	1	23	23	suborn_933_8_4.wav	
suborn	6	3	2	l	She read in the minutes that Marion or Jeremy, and Lillian have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	933	1	24	24	suborn_933_6_2.wav	
suborn	2	1	3	l	I thought they said Sarah or Marvin, and Nolan arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	933	1	25	25	suborn_933_2_3.wav	
suborn	7	4	2	r	He said that Marjorie, and Sally or Molly were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	933	1	26	26	suborn_933_7_2.wav	
suborn	4	2	1	l	You said that Dillon and Lauren, or Morgan would help. But in fact we were told that Megan and Lauren, or Morgan would help.	933	1	27	27	suborn_933_4_1.wav	
suborn	1	1	4	r	I thought they said Sarah arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	933	1	28	28	suborn_933_1_4.wav	
suborn	6	3	3	l	She read in the minutes that Jeremy or Benjamin, and Lillian have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	933	1	29	29	suborn_933_6_3.wav	
suborn	3	2	2	r	You said that Megan, and Dillon or Morgan would help. But in fact we were told that Megan, and Lauren or Morgan would help.	933	1	30	30	suborn_933_3_2.wav	
suborn	5	3	4	r	She read in the minutes that Jeremy has to go. But it actually says that Marion, or Benjamin and Lillian have to go.	933	1	31	31	suborn_933_5_4.wav	
suborn	8	4	1	l	He said that Marjorie and Logan, or Sally were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	933	1	32	32	suborn_933_8_1.wav	
suborn	5	3	2	r	She read in the minutes that Marion, or Jeremy and Lillian have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	930	1	1	1	suborn_930_5_2.wav	
suborn	2	1	1	l	I thought they said Marion or Marvin, and Sarah arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	930	1	2	2	suborn_930_2_1.wav	
suborn	4	2	3	l	You said that Megan and Lauren, or Dillon would help. But in fact we were told that Morgan and Lauren, or Morgan would help.	930	1	3	3	suborn_930_4_3.wav	
suborn	3	2	4	r	You said that Dillon would help. But in fact we were told that Megan, and Lauren or Morgan would help.	930	1	4	4	suborn_930_3_4.wav	
suborn	8	4	3	l	He said that Sally and Logan, or Molly were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	930	1	5	5	suborn_930_8_3.wav	
suborn	6	3	1	l	She read in the minutes that Marion or Benjamin, and Jeremy have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	930	1	6	6	suborn_930_6_1.wav	
suborn	1	1	2	r	I thought they said Marion, or Sarah and Nolan arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	930	1	7	7	suborn_930_1_2.wav	
suborn	7	4	4	r	He said that Sally was nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	930	1	8	8	suborn_930_7_4.wav	
suborn	4	2	4	l	You said that Dillon would help. But in fact we were told that Megan and Lauren, or Morgan would help.	930	1	9	9	suborn_930_4_4.wav	
suborn	1	1	3	r	I thought they said Sarah, or Marvin and Nolan arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	930	1	10	10	suborn_930_1_3.wav	
suborn	7	4	1	r	He said that Marjorie, and Logan or Sally were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.  	930	1	11	11	suborn_930_7_1.wav	
suborn	2	1	2	l	I thought they said Marion or Sarah, and Nolan arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	930	1	12	12	suborn_930_2_2.wav	
suborn	3	2	1	r	You said that Megan, and Lauren or Dillon would help. But in fact we were told that Megan, and Lauren or Morgan would help.	930	1	13	13	suborn_930_3_1.wav	
suborn	8	4	4	l	He said that Sally was nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	930	1	14	14	suborn_930_8_4.wav	
suborn	6	3	2	l	She read in the minutes that Marion or Jeremy, and Lillian have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	930	1	15	15	suborn_930_6_2.wav	
suborn	5	3	3	r	She read in the minutes that Jeremy, or Benjamin and Lillian have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	930	1	16	16	suborn_930_5_3.wav	
suborn	3	2	2	r	You said that Megan, and Dillon or Morgan would help. But in fact we were told that Megan, and Lauren or Morgan would help.	930	1	17	17	suborn_930_3_2.wav	
suborn	2	1	3	l	I thought they said Sarah or Marvin, and Nolan arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	930	1	18	18	suborn_930_2_3.wav	
suborn	5	3	4	r	She read in the minutes that Jeremy has to go. But it actually says that Marion, or Benjamin and Lillian have to go.	930	1	19	19	suborn_930_5_4.wav	
suborn	4	2	1	l	You said that Dillon and Lauren, or Morgan would help. But in fact we were told that Megan and Lauren, or Morgan would help.	930	1	20	20	suborn_930_4_1.wav	
suborn	8	4	1	l	He said that Marjorie and Logan, or Sally were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	930	1	21	21	suborn_930_8_1.wav	
suborn	1	1	4	r	I thought they said Sarah arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	930	1	22	22	suborn_930_1_4.wav	
suborn	6	3	3	l	She read in the minutes that Jeremy or Benjamin, and Lillian have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	930	1	23	23	suborn_930_6_3.wav	
suborn	7	4	2	r	He said that Marjorie, and Sally or Molly were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	930	1	24	24	suborn_930_7_2.wav	
suborn	4	2	2	l	You said that Megan and Dillon, or Morgan would help. But in fact we were told that Megan and Lauren, or Morgan would help.	930	1	25	25	suborn_930_4_2.wav	
suborn	5	3	1	r	She read in the minutes that Marion, or Benjamin and Jeremy have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	930	1	26	26	suborn_930_5_1.wav	
suborn	3	2	3	r	You said that Dillon, and Lauren or Morgan would help. But in fact we were told that Megan, and Lauren or Morgan would help.	930	1	27	27	suborn_930_3_3.wav	
suborn	2	1	4	l	I thought they said Sarah arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	930	1	28	28	suborn_930_2_4.wav	
suborn	8	4	2	l	He said that Marjorie and Sally, or Molly were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	930	1	29	29	suborn_930_8_2.wav	
suborn	7	4	3	r	He said that Sally, and Logan or Molly were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	930	1	30	30	suborn_930_7_3.wav	
suborn	1	1	1	r	I thought they said Marion, or Marvin and Sarah arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	930	1	31	31	suborn_930_1_1.wav	
suborn	6	3	4	l	She read in the minutes that Jeremy has to go. But it actually says that Marion or Benjamin, and Lillian have to go.	930	1	32	32	suborn_930_6_4.wav	
suborn	4	2	4	l	You said that Dillon would help. But in fact we were told that Megan and Lauren, or Morgan would help.	1224	1	1	1	suborn_1224_4_4.wav	
suborn	2	1	2	l	I thought they said Marion or Sarah, and Nolan arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	1224	1	2	2	suborn_1224_2_2.wav	
suborn	7	4	1	r	He said that Marjorie, and Logan or Sally were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.  	1224	1	3	3	suborn_1224_7_1.wav	
suborn	1	1	3	r	I thought they said Sarah, or Marvin and Nolan arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	1224	1	4	4	suborn_1224_1_3.wav	
suborn	3	2	1	r	You said that Megan, and Lauren or Dillon would help. But in fact we were told that Megan, and Lauren or Morgan would help.	1224	1	5	5	suborn_1224_3_1.wav	
suborn	5	3	3	r	She read in the minutes that Jeremy, or Benjamin and Lillian have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	1224	1	6	6	suborn_1224_5_3.wav	
suborn	6	3	2	l	She read in the minutes that Marion or Jeremy, and Lillian have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	1224	1	7	7	suborn_1224_6_2.wav	
suborn	8	4	4	l	He said that Sally was nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	1224	1	8	8	suborn_1224_8_4.wav	
suborn	2	1	4	l	I thought they said Sarah arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	1224	1	9	9	suborn_1224_2_4.wav	
suborn	7	4	3	r	He said that Sally, and Logan or Molly were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	1224	1	10	10	suborn_1224_7_3.wav	
suborn	1	1	1	r	I thought they said Marion, or Marvin and Sarah arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	1224	1	11	11	suborn_1224_1_1.wav	
suborn	4	2	2	l	You said that Megan and Dillon, or Morgan would help. But in fact we were told that Megan and Lauren, or Morgan would help.	1224	1	12	12	suborn_1224_4_2.wav	
suborn	8	4	2	l	He said that Marjorie and Sally, or Molly were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	1224	1	13	13	suborn_1224_8_2.wav	
suborn	5	3	1	r	She read in the minutes that Marion, or Benjamin and Jeremy have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	1224	1	14	14	suborn_1224_5_1.wav	
suborn	6	3	4	l	She read in the minutes that Jeremy has to go. But it actually says that Marion or Benjamin, and Lillian have to go.	1224	1	15	15	suborn_1224_6_4.wav	
suborn	3	2	3	r	You said that Dillon, and Lauren or Morgan would help. But in fact we were told that Megan, and Lauren or Morgan would help.	1224	1	16	16	suborn_1224_3_3.wav	
suborn	5	3	2	r	She read in the minutes that Marion, or Jeremy and Lillian have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	1224	1	17	17	suborn_1224_5_2.wav	
suborn	2	1	1	l	I thought they said Marion or Marvin, and Sarah arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	1224	1	18	18	suborn_1224_2_1.wav	
suborn	4	2	3	l	You said that Megan and Lauren, or Dillon would help. But in fact we were told that Morgan and Lauren, or Morgan would help.	1224	1	19	19	suborn_1224_4_3.wav	
suborn	3	2	4	r	You said that Dillon would help. But in fact we were told that Megan, and Lauren or Morgan would help.	1224	1	20	20	suborn_1224_3_4.wav	
suborn	8	4	3	l	He said that Sally and Logan, or Molly were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	1224	1	21	21	suborn_1224_8_3.wav	
suborn	7	4	4	r	He said that Sally was nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	1224	1	22	22	suborn_1224_7_4.wav	
suborn	6	3	1	l	She read in the minutes that Marion or Benjamin, and Jeremy have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	1224	1	23	23	suborn_1224_6_1.wav	
suborn	1	1	2	r	I thought they said Marion, or Sarah and Nolan arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	1224	1	24	24	suborn_1224_1_2.wav	
suborn	2	1	3	l	I thought they said Sarah or Marvin, and Nolan arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	1224	1	25	25	suborn_1224_2_3.wav	
suborn	7	4	2	r	He said that Marjorie, and Sally or Molly were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	1224	1	26	26	suborn_1224_7_2.wav	
suborn	1	1	4	r	I thought they said Sarah arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	1224	1	27	27	suborn_1224_1_4.wav	
suborn	4	2	1	l	You said that Dillon and Lauren, or Morgan would help. But in fact we were told that Megan and Lauren, or Morgan would help.	1224	1	28	28	suborn_1224_4_1.wav	
suborn	3	2	2	r	You said that Megan, and Dillon or Morgan would help. But in fact we were told that Megan, and Lauren or Morgan would help.	1224	1	29	29	suborn_1224_3_2.wav	
suborn	6	3	3	l	She read in the minutes that Jeremy or Benjamin, and Lillian have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	1224	1	30	30	suborn_1224_6_3.wav	
suborn	8	4	1	l	He said that Marjorie and Logan, or Sally were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	1224	1	31	31	suborn_1224_8_1.wav	
suborn	5	3	4	r	She read in the minutes that Jeremy has to go. But it actually says that Marion, or Benjamin and Lillian have to go.	1224	1	32	32	suborn_1224_5_4.wav	
suborn	7	4	1	r	He said that Marjorie, and Logan or Sally were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.  	1243	1	1	1	suborn_1243_7_1.wav	
suborn	6	3	2	l	She read in the minutes that Marion or Jeremy, and Lillian have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	1243	1	2	2	suborn_1243_6_2.wav	
suborn	1	1	3	r	I thought they said Sarah, or Marvin and Nolan arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	1243	1	3	3	suborn_1243_1_3.wav	
suborn	8	4	4	l	He said that Sally was nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	1243	1	4	4	suborn_1243_8_4.wav	
suborn	2	1	2	l	I thought they said Marion or Sarah, and Nolan arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	1243	1	5	5	suborn_1243_2_2.wav	
suborn	3	2	1	r	You said that Megan, and Lauren or Dillon would help. But in fact we were told that Megan, and Lauren or Morgan would help.	1243	1	6	6	suborn_1243_3_1.wav	
suborn	4	2	4	l	You said that Dillon would help. But in fact we were told that Megan and Lauren, or Morgan would help.	1243	1	7	7	suborn_1243_4_4.wav	
suborn	5	3	3	r	She read in the minutes that Jeremy, or Benjamin and Lillian have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	1243	1	8	8	suborn_1243_5_3.wav	
suborn	8	4	2	l	He said that Marjorie and Sally, or Molly were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	1243	1	9	9	suborn_1243_8_2.wav	
suborn	5	3	1	r	She read in the minutes that Marion, or Benjamin and Jeremy have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	1243	1	10	10	suborn_1243_5_1.wav	
suborn	3	2	3	r	You said that Dillon, and Lauren or Morgan would help. But in fact we were told that Megan, and Lauren or Morgan would help.	1243	1	11	11	suborn_1243_3_3.wav	
suborn	6	3	4	l	She read in the minutes that Jeremy has to go. But it actually says that Marion or Benjamin, and Lillian have to go.	1243	1	12	12	suborn_1243_6_4.wav	
suborn	1	1	1	r	I thought they said Marion, or Marvin and Sarah arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	1243	1	13	13	suborn_1243_1_1.wav	
suborn	2	1	4	l	I thought they said Sarah arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	1243	1	14	14	suborn_1243_2_4.wav	
suborn	4	2	2	l	You said that Megan and Dillon, or Morgan would help. But in fact we were told that Megan and Lauren, or Morgan would help.	1243	1	15	15	suborn_1243_4_2.wav	
suborn	7	4	3	r	He said that Sally, and Logan or Molly were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	1243	1	16	16	suborn_1243_7_3.wav	
suborn	5	3	4	r	She read in the minutes that Jeremy has to go. But it actually says that Marion, or Benjamin and Lillian have to go.	1243	1	17	17	suborn_1243_5_4.wav	
suborn	8	4	1	l	He said that Marjorie and Logan, or Sally were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	1243	1	18	18	suborn_1243_8_1.wav	
suborn	3	2	2	r	You said that Megan, and Dillon or Morgan would help. But in fact we were told that Megan, and Lauren or Morgan would help.	1243	1	19	19	suborn_1243_3_2.wav	
suborn	6	3	3	l	She read in the minutes that Jeremy or Benjamin, and Lillian have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	1243	1	20	20	suborn_1243_6_3.wav	
suborn	4	2	1	l	You said that Dillon and Lauren, or Morgan would help. But in fact we were told that Megan and Lauren, or Morgan would help.	1243	1	21	21	suborn_1243_4_1.wav	
suborn	7	4	2	r	He said that Marjorie, and Sally or Molly were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	1243	1	22	22	suborn_1243_7_2.wav	
suborn	1	1	4	r	I thought they said Sarah arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	1243	1	23	23	suborn_1243_1_4.wav	
suborn	2	1	3	l	I thought they said Sarah or Marvin, and Nolan arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	1243	1	24	24	suborn_1243_2_3.wav	
suborn	6	3	1	l	She read in the minutes that Marion or Benjamin, and Jeremy have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	1243	1	25	25	suborn_1243_6_1.wav	
suborn	1	1	2	r	I thought they said Marion, or Sarah and Nolan arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	1243	1	26	26	suborn_1243_1_2.wav	
suborn	7	4	4	r	He said that Sally was nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	1243	1	27	27	suborn_1243_7_4.wav	
suborn	8	4	3	l	He said that Sally and Logan, or Molly were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	1243	1	28	28	suborn_1243_8_3.wav	
suborn	2	1	1	l	I thought they said Marion or Marvin, and Sarah arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	1243	1	29	29	suborn_1243_2_1.wav	
suborn	3	2	4	r	You said that Dillon would help. But in fact we were told that Megan, and Lauren or Morgan would help.	1243	1	30	30	suborn_1243_3_4.wav	
suborn	4	2	3	l	You said that Megan and Lauren, or Dillon would help. But in fact we were told that Morgan and Lauren, or Morgan would help.	1243	1	31	31	suborn_1243_4_3.wav	
suborn	5	3	2	r	She read in the minutes that Marion, or Jeremy and Lillian have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	1243	1	32	32	suborn_1243_5_2.wav	
suborn	2	1	4	l	I thought they said Sarah arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	1244	1	1	1	suborn_1244_2_4.wav	
suborn	5	3	1	r	She read in the minutes that Marion, or Benjamin and Jeremy have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	1244	1	2	2	suborn_1244_5_1.wav	
suborn	3	2	3	r	You said that Dillon, and Lauren or Morgan would help. But in fact we were told that Megan, and Lauren or Morgan would help.	1244	1	3	3	suborn_1244_3_3.wav	
suborn	4	2	2	l	You said that Megan and Dillon, or Morgan would help. But in fact we were told that Megan and Lauren, or Morgan would help.	1244	1	4	4	suborn_1244_4_2.wav	
suborn	6	3	4	l	She read in the minutes that Jeremy has to go. But it actually says that Marion or Benjamin, and Lillian have to go.	1244	1	5	5	suborn_1244_6_4.wav	
suborn	7	4	3	r	He said that Sally, and Logan or Molly were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	1244	1	6	6	suborn_1244_7_3.wav	
suborn	8	4	2	l	He said that Marjorie and Sally, or Molly were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	1244	1	7	7	suborn_1244_8_2.wav	
suborn	1	1	1	r	I thought they said Marion, or Marvin and Sarah arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	1244	1	8	8	suborn_1244_1_1.wav	
suborn	4	2	4	l	You said that Dillon would help. But in fact we were told that Megan and Lauren, or Morgan would help.	1244	1	9	9	suborn_1244_4_4.wav	
suborn	2	1	2	l	I thought they said Marion or Sarah, and Nolan arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	1244	1	10	10	suborn_1244_2_2.wav	
suborn	1	1	3	r	I thought they said Sarah, or Marvin and Nolan arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	1244	1	11	11	suborn_1244_1_3.wav	
suborn	7	4	1	r	He said that Marjorie, and Logan or Sally were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.  	1244	1	12	12	suborn_1244_7_1.wav	
suborn	3	2	1	r	You said that Megan, and Lauren or Dillon would help. But in fact we were told that Megan, and Lauren or Morgan would help.	1244	1	13	13	suborn_1244_3_1.wav	
suborn	6	3	2	l	She read in the minutes that Marion or Jeremy, and Lillian have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	1244	1	14	14	suborn_1244_6_2.wav	
suborn	5	3	3	r	She read in the minutes that Jeremy, or Benjamin and Lillian have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	1244	1	15	15	suborn_1244_5_3.wav	
suborn	8	4	4	l	He said that Sally was nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	1244	1	16	16	suborn_1244_8_4.wav	
suborn	5	3	2	r	She read in the minutes that Marion, or Jeremy and Lillian have to go. But it actually says that Marion, or Benjamin and Lillian have to go.	1244	1	17	17	suborn_1244_5_2.wav	
suborn	2	1	1	l	I thought they said Marion or Marvin, and Sarah arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	1244	1	18	18	suborn_1244_2_1.wav	
suborn	3	2	4	r	You said that Dillon would help. But in fact we were told that Megan, and Lauren or Morgan would help.	1244	1	19	19	suborn_1244_3_4.wav	
suborn	4	2	3	l	You said that Megan and Lauren, or Dillon would help. But in fact we were told that Morgan and Lauren, or Morgan would help.	1244	1	20	20	suborn_1244_4_3.wav	
suborn	7	4	4	r	He said that Sally was nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	1244	1	21	21	suborn_1244_7_4.wav	
suborn	6	3	1	l	She read in the minutes that Marion or Benjamin, and Jeremy have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	1244	1	22	22	suborn_1244_6_1.wav	
suborn	1	1	2	r	I thought they said Marion, or Sarah and Nolan arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	1244	1	23	23	suborn_1244_1_2.wav	
suborn	8	4	3	l	He said that Sally and Logan, or Molly were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	1244	1	24	24	suborn_1244_8_3.wav	
suborn	2	1	3	l	I thought they said Sarah or Marvin, and Nolan arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	1244	1	25	25	suborn_1244_2_3.wav	
suborn	1	1	4	r	I thought they said Sarah arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	1244	1	26	26	suborn_1244_1_4.wav	
suborn	4	2	1	l	You said that Dillon and Lauren, or Morgan would help. But in fact we were told that Megan and Lauren, or Morgan would help.	1244	1	27	27	suborn_1244_4_1.wav	
suborn	7	4	2	r	He said that Marjorie, and Sally or Molly were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	1244	1	28	28	suborn_1244_7_2.wav	
suborn	5	3	4	r	She read in the minutes that Jeremy has to go. But it actually says that Marion, or Benjamin and Lillian have to go.	1244	1	29	29	suborn_1244_5_4.wav	
suborn	3	2	2	r	You said that Megan, and Dillon or Morgan would help. But in fact we were told that Megan, and Lauren or Morgan would help.	1244	1	30	30	suborn_1244_3_2.wav	
suborn	8	4	1	l	He said that Marjorie and Logan, or Sally were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated.	1244	1	31	31	suborn_1244_8_1.wav	
suborn	6	3	3	l	She read in the minutes that Jeremy or Benjamin, and Lillian have to go. But it actually says that Marion or Benjamin, and Lillian have to go.	1244	1	32	32	suborn_1244_6_3.wav	
suborn	4	2	1	l	You said that Dillon and Lauren, or Morgan would help. But in fact we were told that Megan and Lauren, or Morgan would help.	1154	1	1	1	suborn_1154_4_1.wav	
suborn	2	1	3	l	I thought they said Sarah or Marvin, and Nolan arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	1154	1	2	2	suborn_1154_2_3.wav	
suborn	7	4	2	r	He said that Marjorie, and Sally or Molly were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated.	1154	1	3	3	suborn_1154_7_2.wav	
suborn	1	1	4	r	I thought they said Sarah arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	1154	1	4	4	suborn_1154_1_4.wav	
suborn	5	3	4	r	She read in the minutes that Jeremy has to go. But it actually says that Marion, or Benjamin and Lillian have to go.	1154	1	5	5	suborn_1154_5_4.wav	
suborn	3	2	2	r	You said that Megan, and Dillon or Morgan would help. But in fact we were told that Megan, and Lauren or Morgan would help.	1154	1	6	6	suborn_1154_3_2.wav	
